Original Tags,After 3 levenstein op,after 1 fingerprint op
Domain,Domain,Domain
ISO,ISO,ISO
KPI,KPI,KPI
Value,Value,Value
Concrete,Concrete,Concrete
Digital,Digital,Digital
Linked,Linked,Linked
McBIM,McBIM,McBIM
Semantic,Semantic,Semantic
Sensors,Sensors,Sensors
Wireless,Wireless,Wireless
building,building,building
CityGML,CityGML,CityGML
EBPD,EBPD,EBPD
LandInfra,LandInfra,LandInfra
Snøhetta,Snøhetta,Snøhetta
Conference,Conference,Conference
3CIM,3CIM,3CIM
FME-desktop,FME-desktop,FME-desktop
Geodata,Geodata,Geodata
GML,GML,GML
Navisworks,Navisworks,Navisworks
Solibri,Solibri,Solibri
Sweden,Sweden,Sweden
XBIM,XBIM,XBIM
building,building,building
building,building,building
energy,Energy,Energy
ontology,ontology,ontology
RealEstateCore,RealEstateCore,RealEstateCore
3D,3D,3D
BCF,BCF,BCF
Harpaceas,Harpaceas,Harpaceas
SMC,SMC,SMC
Computer,Computer,Computer
Turkey,Turkey,Turkey
application,application,application
data,data,Data
semantic,Semantic,Semantic
damage,damage,damage
description,description,description
fuzzy,fuzzy,Fuzzy
ambient,ambient,ambient
energy,Energy,Energy
Building,building,building
Performance,Performance,Performance
RDF,RDF,RDF
Social,Social,Social
Twitter,Twitter,Twitter
building,building,building
review,review,review
rule,rule,Rule
Florida,Florida,Florida
Virtual,Virtual,Virtual
Communities,Communities,Communities
Context,Context,Context
decision,decision,decision
domain,Domain,Domain
Electricity,Electricity,Electricity
group,group,group
Semantics,Semantic,Semantic
smart,smart,Smart
Switches,Switches,Switches
Temperature,Temperature,Temperature
asset,asset,Asset
taxonomy,taxonomy,taxonomy
fault,fault,Fault
3D,3D,3D
3D,3D,3D
Building,building,building
Digitalization,Digitalization,Digitalization
Property,Property,Property
bSDD,bSDD,bSDD
buildingSmart,buildingSmart,buildingSmart
Roadmap,Roadmap,Roadmap
UCM,UCM,UCM
Use,Use,Use
Buildings,building,building
Standards,Standards,Standards
Engines,Engines,Engines
Expert,Expert,Expert
Inference,Inference,Inference
Smart,Smart,Smart
Demand,Demand,Demand
Electricity,Electricity,Electricity
Reinforcement,Reinforcement,Reinforcement
code,code,Code
defeasible,defeasible,defeasible
Automated,Automated,Automated
Computer-executable,Computer-executable,Computer-executable
KBimAssess,KBimAssess,KBimAssess
KBimAssess-Lite,KBimAssess-Lite,KBimAssess-Lite
KBimCode,KBimCode,KBimCode
KBimLogic,KBimLogic,KBimLogic
KBimVeri,KBimVeri,KBimVeri
Logic,Logic,Logic
Seumter,SEUMTER,SEUMTER
AEC,AEC,AEC
Generative,Generative,Generative
Layout,Layout,Layout
Layout,Layout,Layout
Multiobjective,Multiobjective,Multiobjective
Pareto,Pareto,Pareto
Semantic,Semantic,Semantic
Site,Site,Site
Smart,Smart,Smart
firefighting,firefighting,firefighting
underground,underground,underground
Diff,Diff,Diff
BIM,BIM,BIM
Semantic,Semantic,Semantic
Construction,Construction,Construction
Verification,Verification,Verification
AC,AC,AC
ESRI,ESRI,ESRI
Geneva,Geneva,Geneva
GeoBIM,GeoBIM,GeoBIM
geodata,Geodata,Geodata
GIS,GIS,GIS
IFC,IFC,IFC
PLR-cadastre,PLR-cadastre,PLR-cadastre
SITG,SITG,SITG
Switzerland,Switzerland,Switzerland
product,Product,Product
designbuilder,designbuilder,designbuilder
interoperability,Interoperability,Interoperability
revit,revit,revit
Data,Data,Data
Geolocation,Geolocation,Geolocation
Geology,Geology,Geology
Geospatial,Geospatial,Geospatial
GraphDB,GraphDB,GraphDB
Spatial,spatial,spatial
Stardog,Stardog,Stardog
Tools,Tools,Tools
Well-defined,Well-defined,Well-defined
building,building,building
geospatial,Geospatial,Geospatial
Context-free,Context-free,Context-free
Design,Design,Design
Design,Design,Design
Request,Request,Request
BIM,BIM,BIM
Knowledge,Knowledge,Knowledge
Object,Object,Object
Attribute,Attribute,Attribute
Code,Code,Code
Dubai,Dubai,Dubai
Dubai,Dubai,Dubai
e-checking,e-checking,Checking
e-Submission,e-Submission,e-Submission
Geometry,Geometry,Geometry
